ID,MENTAL_HEALTH_COVERAGE,TECH_COMPANY,MENTAL_HEALTH_OPTIONS_UNDER_COVERAGE,EMPLOYER_OFFER_MENTAL_HEALTH_RESOURCES,MEDICAL_COVERAGE_INCLUDING_MENTAL_HEALTH_TREATMENT,PREV_EMPLOYERS_PROVIDE_MENTAL_HEALTH_BENEFITS,AWARENESS_OF_MENTAL_HEALTH_COVERAGE_BY_PREV_EMPLOYERS,PREV_EMPLOYER_OFFER_MENTAL_HEALTH_RESOURCES,MENTAL_HEALTH_IDENTITY_HURT_YOUR_CAREER,CURRENT_MENTAL_HEALTH_DISORDER
631,,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
632,Yes,0,Yes,No,,I don't know,N/A (not currently aware),None did,Maybe,No
633,Yes,0,No,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
634,Yes,1,Yes,No,,"Yes, they all did",I was aware of some,"Yes, they all did",Maybe,No
635,Yes,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,"No, I don't think it would",Yes
636,Yes,1,No,Yes,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, I think it would",No
637,Yes,1,Yes,No,,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, I think it would",Yes
638,No,1,,No,,Some did,I was aware of some,Some did,"Yes, I think it would",No
639,,,,,0,,,,"Yes, I think it would",Maybe
640,I don't know,1,No,No,,I don't know,I was aware of some,None did,"Yes, I think it would",No
641,Not eligible for coverage ,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
642,No,1,,No,,Some did,"Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
643,I don't know,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
644,Yes,1,Yes,Yes,,I don't know,N/A (not currently aware),None did,"No, it has not",Maybe
645,I don't know,1,I am not sure,I don't know,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
646,,,,,0,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
647,,,,,1,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, I think it would",No
648,I don't know,1,No,Yes,,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Maybe
649,Yes,1,No,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",No
650,No,1,No,No,,"No, none did","No, I only became aware later",None did,"Yes, I think it would",Yes
651,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
652,I don't know,0,No,I don't know,,Some did,I was aware of some,Some did,Maybe,Yes
653,No,1,,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
654,Yes,1,Yes,Yes,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
655,I don't know,1,I am not sure,I don't know,,,,,Maybe,No
656,Yes,1,I am not sure,Yes,,Some did,I was aware of some,Some did,Maybe,Maybe
657,I don't know,0,No,Yes,,"No, none did",I was aware of some,None did,Maybe,No
658,I don't know,1,No,I don't know,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did",Maybe,No
659,Yes,1,I am not sure,No,,Some did,I was aware of some,None did,"Yes, it has",Yes
660,Yes,1,I am not sure,No,,Some did,"No, I only became aware later",None did,"Yes, I think it would",Yes
661,Yes,1,Yes,Yes,,"No, none did",N/A (not currently aware),Some did,"No, it has not",Maybe
662,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
663,No,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
664,No,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
665,Not eligible for coverage ,1,I am not sure,No,,I don't know,N/A (not currently aware),Some did,"No, I don't think it would",Maybe
666,Yes,1,Yes,No,,"Yes, they all did",I was aware of some,None did,"Yes, it has",Yes
667,Yes,0,Yes,Yes,,Some did,I was aware of some,Some did,"No, I don't think it would",Yes
668,,,,,1,Some did,I was aware of some,None did,Maybe,Maybe
669,No,1,Yes,No,,,,,"Yes, I think it would",No
670,I don't know,1,I am not sure,No,,Some did,N/A (not currently aware),Some did,Maybe,No
671,Yes,0,I am not sure,I don't know,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",No
672,Yes,1,I am not sure,Yes,,I don't know,N/A (not currently aware),None did,Maybe,No
673,I don't know,0,No,I don't know,,,,,"Yes, I think it would",Yes
674,Yes,0,Yes,No,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
675,Yes,0,No,Yes,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",No
676,,,,,1,I don't know,I was aware of some,None did,"Yes, I think it would",Yes
677,Yes,1,No,Yes,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
678,Yes,1,I am not sure,No,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
679,Yes,0,Yes,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, it has",Yes
680,Yes,1,Yes,No,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, it has",Yes
681,I don't know,0,No,No,,"No, none did","Yes, I was aware of all of them",None did,Maybe,Maybe
682,,,,,1,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
683,Yes,1,No,No,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
684,Yes,0,Yes,Yes,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",No
685,Yes,1,Yes,Yes,,"Yes, they all did",N/A (not currently aware),None did,Maybe,Yes
686,Yes,0,Yes,Yes,,Some did,"Yes, I was aware of all of them",Some did,Maybe,Yes
687,I don't know,0,I am not sure,Yes,,I don't know,N/A (not currently aware),Some did,Maybe,No
688,I don't know,1,No,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
689,Yes,1,Yes,No,,Some did,"No, I only became aware later",None did,Maybe,No
690,Yes,1,Yes,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
691,Yes,1,Yes,No,,,,,Maybe,Maybe
692,I don't know,1,No,Yes,,I don't know,N/A (not currently aware),None did,Maybe,No
693,I don't know,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,Maybe,Yes
694,Yes,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
695,Yes,1,I am not sure,Yes,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",No
696,,,,,1,Some did,"Yes, I was aware of all of them",Some did,"No, I don't think it would",No
697,I don't know,1,No,I don't know,,"No, none did","Yes, I was aware of all of them",Some did,"Yes, I think it would",No
698,,,,,0,"No, none did","No, I only became aware later",None did,"Yes, I think it would",Yes
699,I don't know,0,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
700,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
701,No,0,No,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
702,I don't know,0,I am not sure,No,,,,,"Yes, I think it would",Maybe
703,Not eligible for coverage ,1,,No,,I don't know,N/A (not currently aware),None did,Maybe,No
704,No,1,No,No,,"No, none did","No, I only became aware later",None did,"No, I don't think it would",No
705,No,1,No,Yes,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, it has",No
706,No,1,No,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
707,I don't know,1,No,I don't know,,Some did,I was aware of some,Some did,"Yes, it has",Maybe
708,,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
709,I don't know,0,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
710,Yes,0,I am not sure,Yes,,"No, none did","No, I only became aware later",Some did,"Yes, I think it would",No
711,,,,,1,Some did,"Yes, I was aware of all of them",None did,Maybe,No
712,,,,,1,,,,"Yes, I think it would",Yes
713,Yes,1,Yes,I don't know,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","No, I don't think it would",No
714,Not eligible for coverage ,0,,Yes,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
715,No,1,I am not sure,Yes,,,,,"Yes, I think it would",Yes
716,,,,,0,Some did,I was aware of some,None did,"Yes, I think it would",Yes
717,No,0,No,Yes,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",No
718,Yes,1,Yes,Yes,,Some did,"No, I only became aware later",Some did,"No, I don't think it would",Yes
719,,,,,0,I don't know,N/A (not currently aware),None did,Maybe,No
720,I don't know,1,I am not sure,I don't know,,,,,"Yes, I think it would",No
721,Yes,1,Yes,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
722,No,1,No,No,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
723,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
724,I don't know,1,I am not sure,I don't know,,"No, none did","No, I only became aware later",None did,"No, I don't think it would",No
725,I don't know,0,No,No,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
726,Not eligible for coverage ,0,Yes,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
727,,,,,0,I don't know,"No, I only became aware later",None did,Maybe,No
728,,,,,1,I don't know,N/A (not currently aware),None did,"Yes, it has",Yes
729,Yes,0,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
730,No,1,,I don't know,,Some did,I was aware of some,Some did,Maybe,Maybe
731,I don't know,0,I am not sure,I don't know,,Some did,I was aware of some,Some did,Maybe,Yes
732,Yes,1,Yes,I don't know,,,,,"Yes, I think it would",Yes
733,I don't know,1,I am not sure,I don't know,,I don't know,I was aware of some,None did,"Yes, I think it would",Maybe
734,,,,,1,"Yes, they all did",I was aware of some,None did,"Yes, it has",Yes
735,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
736,,,,,1,I don't know,N/A (not currently aware),Some did,Maybe,Maybe
737,Not eligible for coverage ,1,I am not sure,Yes,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",Maybe
738,Yes,0,I am not sure,Yes,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
739,,,,,0,,,,Maybe,No
740,Yes,1,Yes,Yes,,Some did,"No, I only became aware later",None did,"Yes, I think it would",No
741,I don't know,1,I am not sure,Yes,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
742,Yes,1,Yes,No,,"Yes, they all did",I was aware of some,None did,"No, I don't think it would",No
743,,,,,1,Some did,I was aware of some,None did,"Yes, I think it would",No
744,Yes,1,Yes,No,,Some did,I was aware of some,None did,"Yes, I think it would",Yes
745,Yes,1,I am not sure,Yes,,"Yes, they all did",I was aware of some,"Yes, they all did",Maybe,No
746,,,,,0,Some did,I was aware of some,Some did,Maybe,Yes
747,,,,,0,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Maybe
748,,,,,0,,,,"Yes, I think it would",Maybe
749,,,,,0,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
750,No,0,,No,,"No, none did",N/A (not currently aware),None did,"Yes, it has",Yes
751,,,,,0,I don't know,I was aware of some,None did,Maybe,Maybe
752,,,,,1,Some did,I was aware of some,None did,"Yes, I think it would",Maybe
753,,,,,1,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
754,No,1,No,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
755,Yes,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
756,Yes,0,Yes,Yes,,,,,"No, I don't think it would",No
757,Not eligible for coverage ,1,,Yes,,I don't know,N/A (not currently aware),None did,Maybe,No
758,Yes,0,Yes,Yes,,Some did,I was aware of some,Some did,"Yes, it has",Yes
759,I don't know,0,I am not sure,Yes,,Some did,I was aware of some,None did,"No, I don't think it would",Yes
760,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
761,Yes,1,I am not sure,No,,Some did,I was aware of some,None did,"Yes, it has",Yes
762,Yes,1,Yes,No,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",No
763,I don't know,1,No,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",No
764,,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,Yes
765,Yes,1,Yes,No,,"Yes, they all did","No, I only became aware later",None did,Maybe,Maybe
766,,,,,1,I don't know,N/A (not currently aware),None did,Maybe,No
767,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
768,,,,,0,Some did,N/A (not currently aware),Some did,"Yes, I think it would",No
769,,,,,1,"Yes, they all did",I was aware of some,None did,Maybe,Yes
770,No,1,I am not sure,No,,Some did,I was aware of some,Some did,Maybe,No
771,Yes,1,No,No,,,,,"No, I don't think it would",No
772,Not eligible for coverage ,1,,I don't know,,,,,"Yes, I think it would",No
773,Not eligible for coverage ,1,,Yes,,Some did,I was aware of some,Some did,"No, I don't think it would",Yes
774,,,,,1,"Yes, they all did",I was aware of some,Some did,Maybe,Maybe
775,,,,,0,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
776,Yes,1,Yes,I don't know,,"Yes, they all did",I was aware of some,None did,"Yes, I think it would",Yes
777,Yes,1,Yes,Yes,,Some did,"Yes, I was aware of all of them",Some did,"No, it has not",Yes
778,Yes,1,Yes,Yes,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
779,Yes,0,I am not sure,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
780,I don't know,1,I am not sure,No,,Some did,N/A (not currently aware),None did,"Yes, I think it would",Yes
781,Yes,0,No,Yes,,,,,"Yes, I think it would",No
782,Yes,1,Yes,No,,"Yes, they all did",I was aware of some,"Yes, they all did",Maybe,Yes
783,Yes,0,Yes,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
784,,,,,0,,,,"Yes, it has",Maybe
785,No,1,No,No,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",Yes
786,,,,,1,I don't know,N/A (not currently aware),Some did,Maybe,No
787,I don't know,1,I am not sure,I don't know,,,,,Maybe,No
788,,,,,1,I don't know,N/A (not currently aware),None did,Maybe,No
789,,,,,1,Some did,"No, I only became aware later",Some did,"Yes, it has",Maybe
790,Yes,1,No,Yes,,I don't know,N/A (not currently aware),None did,Maybe,No
791,I don't know,1,No,I don't know,,Some did,I was aware of some,None did,"Yes, I think it would",Maybe
792,Yes,1,Yes,I don't know,,"Yes, they all did","Yes, I was aware of all of them",None did,"No, it has not",Yes
793,Yes,1,No,No,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
794,I don't know,1,No,No,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
795,Yes,1,Yes,Yes,,Some did,N/A (not currently aware),None did,"Yes, I think it would",Yes
796,I don't know,1,I am not sure,Yes,,Some did,"No, I only became aware later",None did,Maybe,Maybe
797,,,,,0,,,,"Yes, I think it would",Maybe
798,Yes,1,I am not sure,No,,Some did,I was aware of some,None did,Maybe,Yes
799,Yes,0,Yes,No,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
800,,,,,1,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, I think it would",Yes
801,I don't know,1,No,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",No
802,,,,,0,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
803,No,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
804,Yes,1,Yes,Yes,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",Maybe
805,Yes,1,No,I don't know,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
806,Not eligible for coverage ,1,,No,,,,,"Yes, it has",Yes
807,Yes,0,I am not sure,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
808,,,,,0,,,,"No, I don't think it would",No
809,Yes,1,No,No,,Some did,I was aware of some,None did,"Yes, it has",Yes
810,No,0,I am not sure,No,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
811,,,,,0,,,,"Yes, I think it would",Maybe
812,No,1,No,No,,,,,"Yes, I think it would",No
813,Yes,1,I am not sure,No,,"Yes, they all did","No, I only became aware later",None did,Maybe,No
814,I don't know,0,No,I don't know,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",Maybe
815,Not eligible for coverage ,1,,No,,,,,"Yes, I think it would",No
816,,,,,1,"No, none did","Yes, I was aware of all of them",None did,"Yes, it has",Yes
817,I don't know,1,I am not sure,No,,,,,Maybe,No
818,I don't know,0,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
819,I don't know,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Maybe
820,,,,,1,Some did,N/A (not currently aware),None did,"Yes, I think it would",Yes
821,I don't know,0,No,No,,,,,"Yes, I think it would",Maybe
822,Yes,0,No,No,,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
823,,,,,0,,,,"No, I don't think it would",Maybe
824,No,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
825,Yes,1,I am not sure,Yes,,I don't know,N/A (not currently aware),None did,Maybe,Yes
826,Yes,1,Yes,No,,Some did,"Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
827,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
828,,,,,1,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
829,I don't know,1,I am not sure,No,,I don't know,I was aware of some,None did,"Yes, I think it would",No
830,I don't know,1,No,Yes,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
831,Yes,1,I am not sure,I don't know,,"Yes, they all did",I was aware of some,"Yes, they all did",Maybe,Yes
832,Yes,1,Yes,Yes,,Some did,"Yes, I was aware of all of them",Some did,"No, I don't think it would",No
833,Yes,1,No,No,,"Yes, they all did",I was aware of some,None did,Maybe,No
834,No,1,No,No,,,,,Maybe,No
835,Yes,1,Yes,I don't know,,"Yes, they all did","Yes, I was aware of all of them",Some did,Maybe,Yes
836,I don't know,1,No,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
837,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
838,Yes,1,I am not sure,No,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",No
839,,,,,0,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, I think it would",No
840,,,,,1,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Maybe
841,No,0,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
842,Yes,1,No,I don't know,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",No
843,,,,,1,Some did,"No, I only became aware later",None did,"Yes, I think it would",Yes
844,Yes,1,Yes,No,,"Yes, they all did",I was aware of some,None did,Maybe,Yes
845,Yes,0,I am not sure,I don't know,,,,,Maybe,No
846,Yes,1,Yes,I don't know,,"Yes, they all did",I was aware of some,Some did,"Yes, it has",Yes
847,No,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
848,I don't know,0,I am not sure,Yes,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Yes
849,Yes,1,Yes,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
850,,,,,0,I don't know,N/A (not currently aware),None did,Maybe,No
851,Yes,0,I am not sure,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
852,No,0,I am not sure,I don't know,,Some did,I was aware of some,None did,"Yes, I think it would",Yes
853,I don't know,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
854,Yes,1,No,I don't know,,Some did,"No, I only became aware later",Some did,"Yes, I think it would",Maybe
855,Yes,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Yes
856,,,,,1,Some did,"Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
857,Yes,1,I am not sure,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
858,I don't know,1,I am not sure,Yes,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",No
859,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
860,I don't know,1,No,No,,I don't know,N/A (not currently aware),Some did,Maybe,No
861,I don't know,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
862,No,0,,Yes,,"No, none did",I was aware of some,None did,Maybe,Maybe
863,I don't know,0,I am not sure,Yes,,I don't know,"No, I only became aware later",None did,"Yes, I think it would",No
864,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
865,No,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
866,I don't know,1,I am not sure,No,,Some did,I was aware of some,Some did,"Yes, I think it would",No
867,,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,Yes
868,Not eligible for coverage,1,,Yes,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",Yes
869,I don't know,0,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
870,Yes,1,Yes,I don't know,,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, I think it would",Yes
871,,,,,0,I don't know,N/A (not currently aware),Some did,Maybe,No
872,,,,,0,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, it has",Yes
873,,,,,1,Some did,"No, I only became aware later",Some did,Maybe,Yes
874,I don't know,1,No,I don't know,,Some did,I was aware of some,Some did,Maybe,Maybe
875,I don't know,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"Yes, it has",No
876,No,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Maybe
877,,,,,1,,,,Maybe,No
878,Yes,0,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,No
879,,,,,1,,,,"No, I don't think it would",Maybe
880,Not eligible for coverage ,1,,I don't know,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
881,Yes,0,Yes,Yes,,Some did,I was aware of some,None did,"Yes, I think it would",Maybe
882,I don't know,1,No,I don't know,,Some did,I was aware of some,Some did,Maybe,No
883,I don't know,1,No,I don't know,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Maybe
884,I don't know,1,I am not sure,I don't know,,Some did,"No, I only became aware later",Some did,"Yes, I think it would",No
885,,,,,0,"Yes, they all did",I was aware of some,Some did,Maybe,Yes
886,,,,,1,Some did,"Yes, I was aware of all of them",None did,"No, I don't think it would",Maybe
887,,,,,1,,,,Maybe,No
888,,,,,0,I don't know,"No, I only became aware later",None did,"Yes, I think it would",Yes
889,I don't know,0,I am not sure,No,,"No, none did","No, I only became aware later",None did,"Yes, it has",Yes
890,I don't know,0,No,Yes,,Some did,"No, I only became aware later",None did,"Yes, I think it would",Maybe
891,,,,,0,"No, none did",I was aware of some,Some did,Maybe,No
892,,,,,0,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
893,No,1,,No,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Maybe
894,,,,,1,I don't know,N/A (not currently aware),None did,Maybe,Yes
895,Not eligible for coverage ,0,,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
896,,,,,1,,,,"No, I don't think it would",Yes
897,,,,,1,I don't know,N/A (not currently aware),Some did,"No, I don't think it would",No
898,Yes,0,Yes,I don't know,,Some did,"No, I only became aware later",None did,"Yes, I think it would",Maybe
899,,,,,1,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",No
900,,,,,1,Some did,I was aware of some,Some did,Maybe,No
901,,,,,1,Some did,"Yes, I was aware of all of them",Some did,Maybe,Yes
902,,,,,0,Some did,"No, I only became aware later",Some did,Maybe,Yes
903,No,1,,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
904,I don't know,0,No,I don't know,,"No, none did","Yes, I was aware of all of them",None did,"No, I don't think it would",Maybe
905,I don't know,1,No,Yes,,Some did,I was aware of some,Some did,"Yes, it has",Yes
906,Not eligible for coverage ,0,,I don't know,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
907,,,,,1,I don't know,N/A (not currently aware),Some did,Maybe,Maybe
908,Yes,0,Yes,No,,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
909,,,,,0,Some did,I was aware of some,Some did,"Yes, I think it would",No
910,No,0,Yes,No,,,,,"Yes, I think it would",No
911,No,1,Yes,No,,"Yes, they all did",I was aware of some,Some did,Maybe,Maybe
912,,,,,1,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Yes
913,No,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
914,,,,,1,I don't know,N/A (not currently aware),None did,Maybe,Maybe
915,Not eligible for coverage ,1,I am not sure,No,,"No, none did","Yes, I was aware of all of them",None did,"No, I don't think it would",Yes
916,Yes,1,Yes,I don't know,,,,,"Yes, I think it would",Yes
917,No,1,No,No,,,,,Maybe,No
918,,,,,0,Some did,I was aware of some,Some did,Maybe,Maybe
919,No,1,,No,,Some did,"No, I only became aware later",None did,Maybe,No
920,,,,,1,,,,Maybe,Yes
921,,,,,0,"No, none did",N/A (not currently aware),None did,Maybe,No
922,,,,,0,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Maybe
923,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
924,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
925,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
926,I don't know,1,,I don't know,,Some did,"No, I only became aware later",Some did,Maybe,No
927,,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,No
928,I don't know,1,No,I don't know,,I don't know,"No, I only became aware later",None did,Maybe,Maybe
929,No,1,I am not sure,No,,,,,"Yes, I think it would",No
930,No,1,Yes,No,,Some did,"Yes, I was aware of all of them",Some did,Maybe,Yes
931,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,No
932,I don't know,1,No,I don't know,,,,,Maybe,Maybe
933,Yes,1,I am not sure,No,,I don't know,N/A (not currently aware),None did,Maybe,No
934,Not eligible for coverage,1,I am not sure,I don't know,,,,,"Yes, I think it would",No
935,Yes,1,I am not sure,No,,Some did,I was aware of some,Some did,Maybe,No
936,No,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
937,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
938,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),Some did,Maybe,Yes
939,No,0,,No,,Some did,I was aware of some,None did,"No, I don't think it would",Yes
940,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,Maybe,Maybe
941,Yes,1,No,No,,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Maybe
942,Not eligible for coverage ,1,,I don't know,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
943,Yes,1,No,Yes,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
944,Yes,0,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, it has",Yes
945,I don't know,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,"No, I don't think it would",No
946,,,,,1,,,,"Yes, I think it would",No
947,I don't know,1,No,No,,,,,Maybe,No
948,Yes,0,I am not sure,No,,Some did,I was aware of some,Some did,"Yes, it has",Maybe
949,,,,,1,"No, none did","Yes, I was aware of all of them",None did,Maybe,Yes
950,I don't know,1,I am not sure,No,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
951,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,No
952,,,,,0,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
953,Yes,0,No,Yes,,,,,Maybe,Yes
954,Yes,1,Yes,Yes,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
955,No,1,No,No,,Some did,"Yes, I was aware of all of them",Some did,"Yes, I think it would",No
